epoch,cert_bound,rho_inf,obs_kappa,optimizer,activation,loss
1,2.198194516244814,0.13648223876953125,0.1543431580066681,adamw,tanh,quadratic
50,2.132304615680385,0.13664430379867554,0.15812459588050842,adamw,tanh,quadratic
100,1.9614061377220111,0.13004398345947266,0.15946030616760254,adamw,tanh,quadratic
150,1.7688406893655206,0.12216687202453613,0.16065379977226257,adamw,tanh,quadratic
200,1.5732884463619676,0.11375898122787476,0.16114675998687744,adamw,tanh,quadratic
250,1.3957317852319944,0.10502105951309204,0.159479022026062,adamw,tanh,quadratic
300,1.2128723712964444,0.09516870975494385,0.1519991010427475,adamw,tanh,quadratic
350,1.0800513978714428,0.08410018682479858,0.1424231380224228,adamw,tanh,quadratic
400,0.9518187756985387,0.07240927219390869,0.13657055795192719,adamw,tanh,quadratic
450,0.8225130771894597,0.06088888645172119,0.13301359117031097,adamw,tanh,quadratic
500,0.6899881496718557,0.04978930950164795,0.13219048082828522,adamw,tanh,quadratic
550,0.5569266839861645,0.03912079334259033,0.13421548902988434,adamw,tanh,quadratic
600,0.4257950196541284,0.03042840212583542,0.13969352841377258,adamw,tanh,quadratic
650,0.3552987194535594,0.023752935230731964,0.13205870985984802,adamw,tanh,quadratic
700,0.3029630897936739,0.01831573247909546,0.12116441130638123,adamw,tanh,quadratic
750,0.2694079338012456,0.014306977391242981,0.15306082367897034,adamw,tanh,quadratic
800,0.43577538296137736,0.025465011596679688,0.11452682316303253,adamw,tanh,quadratic
850,0.7613477260274886,0.034639954566955566,0.09516975283622742,adamw,tanh,quadratic
900,1.084071765495052,0.0396004319190979,0.08917667716741562,adamw,tanh,quadratic
950,1.3840698431741283,0.041089028120040894,0.08580659329891205,adamw,tanh,quadratic
1000,1.6486477542578217,0.040259599685668945,0.08407071232795715,adamw,tanh,quadratic
1050,1.87297547602858,0.038073569536209106,0.0833733007311821,adamw,tanh,quadratic
1100,2.051686316578012,0.035081297159194946,0.0833333283662796,adamw,tanh,quadratic
1150,2.191756975387026,0.031803786754608154,0.08353762328624725,adamw,tanh,quadratic
1200,2.306604182226601,0.028594672679901123,0.08367915451526642,adamw,tanh,quadratic
1250,2.3849578840891144,0.025370508432388306,0.08384115993976593,adamw,tanh,quadratic
1300,2.442322003179644,0.022372782230377197,0.08386542648077011,adamw,tanh,quadratic
1350,2.4814891584272774,0.0200769305229187,0.08374311029911041,adamw,tanh,quadratic
1400,2.50456043067779,0.02109062671661377,0.08353881537914276,adamw,tanh,quadratic
1450,2.5179737538572247,0.022030621767044067,0.08315616101026535,adamw,tanh,quadratic
1500,2.527175219661485,0.022903621196746826,0.08274146169424057,adamw,tanh,quadratic
1,2.198194516244814,0.13648223876953125,0.1543431580066681,adamw,tanh,robust
50,2.131335309363532,0.14024120569229126,0.16274698078632355,adamw,tanh,robust
100,1.9438160712648491,0.13314217329025269,0.16494673490524292,adamw,tanh,robust
150,1.7452482086088659,0.12385714054107666,0.16579832136631012,adamw,tanh,robust
200,1.5167103327587048,0.11077249050140381,0.16059648990631104,adamw,tanh,robust
250,1.3095142288370163,0.09610265493392944,0.14961068332195282,adamw,tanh,robust
300,1.1275719741631542,0.08174562454223633,0.1368165761232376,adamw,tanh,robust
350,0.9764995314305621,0.07306443154811859,0.13227584958076477,adamw,tanh,robust
400,0.8559873593884199,0.0650789737701416,0.12797299027442932,adamw,tanh,robust
450,0.7465068444572364,0.05759572237730026,0.1253741979598999,adamw,tanh,robust
500,0.6466863749611573,0.05065681040287018,0.12449146062135696,adamw,tanh,robust
550,0.5608514705124307,0.044283539056777954,0.12429177016019821,adamw,tanh,robust
600,0.49126066854865097,0.03847163915634155,0.1237768679857254,adamw,tanh,robust
650,0.4294841617615166,0.03314463794231415,0.1238948404788971,adamw,tanh,robust
700,0.3737109209217609,0.028247609734535217,0.12413381040096283,adamw,tanh,robust
750,0.3208051457579847,0.023600995540618896,0.1274813562631607,adamw,tanh,robust
800,0.2716220709038681,0.01934395730495453,0.12933780252933502,adamw,tanh,robust
850,0.22944838570720183,0.01576170325279236,0.13488924503326416,adamw,tanh,robust
900,0.19331147552665376,0.012758523225784302,0.1493537873029709,adamw,tanh,robust
950,0.19310028322880615,0.01033736765384674,0.15356698632240295,adamw,tanh,robust
1000,0.196551946598793,0.00845271348953247,0.15077216923236847,adamw,tanh,robust
1050,0.19587403488165392,0.007005810737609863,0.1498824656009674,adamw,tanh,robust
1100,0.19244281106092753,0.0058664679527282715,0.14976979792118073,adamw,tanh,robust
1150,0.18728392123668436,0.00493776798248291,0.14964060485363007,adamw,tanh,robust
