optimizer,activation,loss,selection_cert_bound,pre_lbfgs_best_epoch,post_lbfgs_cert_bound,post_lbfgs_rho_inf,abs_sup_error,rmse,pinned_Lip_distance,endpoint_error
adamw,gelu,sup,0.0386,1500.0,0.0386,0.000427,0.000484,0.000219,0.016,0.0
ranger,mish,sup,0.0397,1000.0,0.0397,0.000496,0.000544,0.000238,0.0227,0.0
adamw,gelu,robust,0.0418,1500.0,0.0418,0.000411,0.000448,0.000224,0.0152,0.0
ranger,mish,robust,0.0419,950.0,0.0419,0.000454,0.000497,0.000225,0.0209,0.0
ranger,silu,robust,0.0472,1000.0,0.0472,0.000558,0.000613,0.000272,0.02,0.0
ranger,silu,sup,0.0504,1050.0,0.0504,0.000603,0.000663,0.000296,0.0197,0.0
ranger,tanh,sup,0.0794,950.0,0.0794,0.000678,0.000752,0.00036,0.0368,0.0
ranger,tanh,robust,0.0891,1000.0,0.0891,0.000688,0.000773,0.000417,0.0385,0.0
adamw,silu,sup,0.0945,1500.0,0.0945,0.00118,0.00138,0.00068,0.0558,0.0
adamw,silu,sobolev,0.118,1500.0,0.118,0.00695,0.00761,0.00444,0.0596,0.0
adamw,tanh,robust,0.118,1500.0,0.118,0.00105,0.00116,0.000615,0.057,0.0
adamw,mish,sobolev,0.119,1500.0,0.119,0.00687,0.00753,0.00443,0.0599,0.0
adamw,tanh,sup,0.119,1050.0,0.119,0.000958,0.00116,0.000557,0.0572,0.0
adamw,gelu,sobolev,0.122,1500.0,0.122,0.00713,0.00781,0.00442,0.063,0.0
adamw,mish,sup,0.123,1500.0,0.123,0.00133,0.00155,0.000745,0.0594,0.0
adamw,tanh,sobolev,0.125,1400.0,0.158,0.00863,0.00942,0.00448,0.0821,0.0
ranger,gelu,sobolev,0.151,1500.0,0.151,0.00704,0.00772,0.00447,0.0753,0.0
ranger,silu,sobolev,0.152,1500.0,0.152,0.0062,0.00719,0.00471,0.0737,0.0
adamw,mish,robust,0.158,1500.0,0.158,0.00174,0.00202,0.000961,0.0805,0.0
ranger,gelu,sup,0.165,1500.0,0.165,0.00172,0.002,0.00103,0.0835,0.0
ranger,tanh,sobolev,0.168,1500.0,0.168,0.00852,0.0093,0.0044,0.102,0.0
ranger,gelu,robust,0.17,1500.0,0.17,0.00189,0.0022,0.00106,0.0879,0.0
adamw,silu,robust,0.189,1500.0,0.189,0.0021,0.00245,0.00119,0.0977,0.0
ranger,mish,sobolev,0.196,1500.0,0.196,0.00738,0.00854,0.00503,0.102,0.0
adamw,gelu,quadratic,0.241,1500.0,0.241,0.0141,0.0153,0.00768,0.12,0.0
ranger,gelu,quadratic,0.251,1500.0,0.251,0.0134,0.0147,0.00749,0.124,0.0
ranger,mish,quadratic,0.259,1450.0,0.259,0.0148,0.0161,0.00785,0.128,0.0
adamw,silu,quadratic,0.259,1400.0,2.93,0.0277,0.0298,0.00608,1.43,0.0
adamw,tanh,quadratic,0.269,750.0,2.97,0.0273,0.0295,0.00605,1.45,0.0
adamw,mish,quadratic,0.273,1150.0,3.03,0.0271,0.0292,0.00595,1.48,0.0
ranger,silu,quadratic,0.278,1500.0,0.278,0.0154,0.0168,0.00802,0.139,0.0
ranger,tanh,quadratic,0.487,850.0,2.96,0.0273,0.0295,0.00605,1.44,0.0
