optimizer,activation,loss,pre_lbfgs_best_epoch,pre_lbfgs_cert_bound,post_lbfgs_cert_bound,post_lbfgs_rho_inf,post_lbfgs_obs_kappa,post_lbfgs_rho_prime,endpoint_error,abs_sup_error,rmse,pinned_Lip_distance,elapsed_sec,selection_cert_bound
adamw,gelu,sup,1500,0.13524063609146195,0.038640181740417695,0.00042706727981567383,0.13698630034923553,0.017578125,0.0,0.0004843319284132397,0.00021940230789569657,0.01601030675143452,70.69084692001343,0.038640181740417695
ranger,mish,sup,1000,0.435132487074622,0.03971352012209597,0.0004961192607879639,0.15789474546909332,0.01806640625,0.0,0.0005435711150238998,0.0002380774677149536,0.022735300451111922,194.52347493171692,0.03971352012209597
adamw,gelu,robust,1500,0.14919403505327944,0.04183976552511401,0.0004114210605621338,0.16883118450641632,0.019033674150705338,0.0,0.00044755855241984666,0.00022369150995841332,0.015196554063979921,65.29078388214111,0.04183976552511401
ranger,mish,robust,950,0.4977859618943697,0.041860196885452505,0.00045418739318847656,0.1764705777168274,0.01904296875,0.0,0.0004974161243330166,0.00022549063552456774,0.020914834570944122,190.35050177574158,0.041860196885452505
ranger,silu,robust,1000,0.5012490242437518,0.04722688879384385,0.0005576610565185547,0.10922853648662567,0.021484375,0.0,0.0006130870894777707,0.0002717494519989674,0.019964925646001108,52.20367693901062,0.04722688879384385
ranger,silu,sup,1050,0.4335228725703596,0.05044690393887866,0.0006028413772583008,0.16101694107055664,0.02294921875,0.0,0.0006628310231242551,0.00029593582195203437,0.019740732604180345,51.91243505477905,0.05044690393887866
ranger,tanh,sup,950,0.2855402411233304,0.07942704024419193,0.0006783008575439453,0.17142857611179352,0.0361328125,0.0,0.0007515321410760389,0.00036009190111412916,0.03683223101172971,46.65284609794617,0.07942704024419193
ranger,tanh,robust,1000,0.25548729052734553,0.08908708567929635,0.0006883442401885986,0.17216116189956665,0.04052734375,0.0,0.0007730808570617365,0.00041713556180518767,0.03851536775299019,45.89389896392822,0.08908708567929635
adamw,silu,sup,1500,0.3499083124271158,0.0944537775876877,0.0011816620826721191,0.17182131111621857,0.04296875,0.0,0.0013771548705800996,0.0006796942912349427,0.05584815691684401,53.30938100814819,0.0944537775876877
adamw,silu,sobolev,1500,0.19427424708376675,0.11750186700007681,0.006951361894607544,0.09469560533761978,0.05345374718308449,0.0,0.007612342752392864,0.0044392412303915696,0.05955446007899868,77.27845501899719,0.11750186700007681
adamw,tanh,robust,1500,0.14308470618842417,0.11806722198460963,0.0010461807250976562,0.17737789452075958,0.0537109375,0.0,0.0011606010440580183,0.000615103055513021,0.05701499196752072,41.559112787246704,0.11806722198460963
adamw,mish,sobolev,1500,0.15465085423697558,0.1191114815043392,0.006874948740005493,0.09988901764154434,0.05418599024415016,0.0,0.0075292220659488596,0.004427313349486838,0.059945280643798275,262.83771991729736,0.1191114815043392
adamw,tanh,sup,1050,0.2228413996758171,0.1191405603662879,0.0009582638740539551,0.17766498029232025,0.05419921875,0.0,0.001156255559990882,0.0005568794533032016,0.057174180283636765,42.717625856399536,0.1191405603662879
adamw,gelu,sobolev,1500,0.16179020208623832,0.12182390632048357,0.007133007049560547,0.08464459329843521,0.055419921875,0.0,0.007809819402442464,0.004421592375069504,0.06298342519307082,108.88129568099976,0.12182390632048357
adamw,mish,sup,1500,0.23291442882418445,0.12343391389300097,0.0013306140899658203,0.17317073047161102,0.05615234375,0.0,0.0015491472506418136,0.000744923217817691,0.059364037960793106,186.27496027946472,0.12343391389300097
adamw,tanh,sobolev,1400,0.12450725227467925,0.15827877596364612,0.008632659912109375,0.10187284648418427,0.07200390845537186,0.0,0.009422698283803321,0.004483661728578277,0.08211851774909479,61.86956596374512,0.12450725227467925
ranger,gelu,sobolev,1500,0.4827665618249674,0.15076724161042163,0.007041037082672119,0.11543506383895874,0.06858677417039871,0.0,0.007717562003717315,0.004468923001408777,0.07527135061914099,110.97889423370361,0.15076724161042163
ranger,silu,sobolev,1500,0.578247033694739,0.15241405019831425,0.0061989426612854,0.16968542337417603,0.0693359375,0.0,0.007194808750321524,0.004713382659046492,0.07370429250459487,80.9687569141388,0.15241405019831425
adamw,mish,robust,1500,0.21252099957229734,0.1577807421067056,0.0017386078834533691,0.1779816448688507,0.07177734375,0.0,0.00202268907683667,0.0009609785966330545,0.08054367429918172,178.4028458595276,0.1577807421067056
ranger,gelu,sup,1500,0.2565278732211064,0.1652941107784535,0.0017219185829162598,0.17770035564899445,0.0751953125,0.0,0.0020043839488643744,0.0010283440855342945,0.08348940998086507,66.79849791526794,0.1652941107784535
ranger,tanh,sobolev,1500,0.33071898226307334,0.16770912213722958,0.00851711630821228,0.09317531436681747,0.0762939453125,0.0,0.009296813043097152,0.004398795502363283,0.10209968953956997,65.35033702850342,0.16770912213722958
ranger,gelu,robust,1500,0.26082122674781943,0.16958746430516655,0.0018931031227111816,0.17953020334243774,0.0771484375,0.0,0.0022025519487154366,0.001059656597706042,0.08785195194852881,67.34981298446655,0.16958746430516655
adamw,silu,robust,1500,0.23506110558754098,0.1889075551753754,0.00210493803024292,0.17937219142913818,0.0859375,0.0,0.0024483112860812506,0.001194898257613752,0.09772313325197485,46.881901264190674,0.1889075551753754
ranger,mish,sobolev,1500,0.5205691151139606,0.19642092384712329,0.007376670837402344,0.17882689833641052,0.08935546875,0.0,0.008542143204353425,0.005025534919963092,0.10233212416134709,265.6210889816284,0.19642092384712329
adamw,gelu,quadratic,1500,0.2637729072974347,0.24117392293315945,0.014053106307983398,0.06983087956905365,0.10971442610025406,0.0,0.01534478648932669,0.007676594121169244,0.11967720497719977,63.89388585090637,0.24117392293315945
ranger,gelu,quadratic,1500,0.577456049342909,0.25089284671729545,0.0134199857711792,0.06845004111528397,0.1141357421875,0.0,0.014663191072024906,0.007488715043454389,0.12434207872559482,64.8433849811554,0.25089284671729545
ranger,mish,quadratic,1450,0.5613559736177349,0.2588796824800458,0.014761179685592651,0.07009050995111465,0.11776909977197647,0.0,0.01611165255447583,0.007852791185632596,0.12829038684049357,182.05886578559875,0.2588796824800458
