epoch,cert_bound,rho_inf,obs_kappa,boundary_error,config
1,2.198194516244814,0.13648223876953125,0.1543431580066681,0.0,FEPINN
50,2.132304615680385,0.13664430379867554,0.15812459588050842,0.0,FEPINN
100,1.9614061377220111,0.13004398345947266,0.15946030616760254,0.0,FEPINN
150,1.7688406893655206,0.12216687202453613,0.16065379977226257,0.0,FEPINN
200,1.5732884463619676,0.11375898122787476,0.16114675998687744,0.0,FEPINN
250,1.3957317852319944,0.10502105951309204,0.159479022026062,0.0,FEPINN
300,1.2128723712964444,0.09516870975494385,0.1519991010427475,0.0,FEPINN
350,1.0800513978714428,0.08410018682479858,0.1424231380224228,0.0,FEPINN
400,0.9518187756985387,0.07240927219390869,0.13657055795192719,0.0,FEPINN
450,0.8225130771894597,0.06088888645172119,0.13301359117031097,0.0,FEPINN
500,0.6899881496718557,0.04978930950164795,0.13219048082828522,0.0,FEPINN
550,0.5569266839861645,0.03912079334259033,0.13421548902988434,0.0,FEPINN
600,0.4257950196541284,0.03042840212583542,0.13969352841377258,0.0,FEPINN
650,0.3552987194535594,0.023752935230731964,0.13205870985984802,0.0,FEPINN
700,0.3029630897936739,0.01831573247909546,0.12116441130638123,0.0,FEPINN
750,0.2694079338012456,0.014306977391242981,0.15306082367897034,0.0,FEPINN
800,0.43577538296137736,0.025465011596679688,0.11452682316303253,0.0,FEPINN
850,0.7613477260274886,0.034639954566955566,0.09516975283622742,0.0,FEPINN
900,1.084071765495052,0.0396004319190979,0.08917667716741562,0.0,FEPINN
950,1.3840698431741283,0.041089028120040894,0.08580659329891205,0.0,FEPINN
1000,1.6486477542578217,0.040259599685668945,0.08407071232795715,0.0,FEPINN
1050,1.87297547602858,0.038073569536209106,0.0833733007311821,0.0,FEPINN
1100,2.051686316578012,0.035081297159194946,0.0833333283662796,0.0,FEPINN
1150,2.191756975387026,0.031803786754608154,0.08353762328624725,0.0,FEPINN
1200,2.306604182226601,0.028594672679901123,0.08367915451526642,0.0,FEPINN
1250,2.3849578840891144,0.025370508432388306,0.08384115993976593,0.0,FEPINN
1300,2.442322003179644,0.022372782230377197,0.08386542648077011,0.0,FEPINN
1350,2.4814891584272774,0.0200769305229187,0.08374311029911041,0.0,FEPINN
1400,2.50456043067779,0.02109062671661377,0.08353881537914276,0.0,FEPINN
1450,2.5179737538572247,0.022030621767044067,0.08315616101026535,0.0,FEPINN
1500,2.527175219661485,0.022903621196746826,0.08274146169424057,0.0,FEPINN
1,2.1428643943512053,0.13068386912345886,0.13239344954490662,1.209697961807251,PINN_lambda_10
50,2.1629704907086804,0.13252276182174683,0.12874050438404083,1.1063196659088135,PINN_lambda_10
100,2.1889136506530416,0.1349257528781891,0.123983234167099,0.9622414112091064,PINN_lambda_10
150,2.2082674143704297,0.13674038648605347,0.12040548771619797,0.8328315615653992,PINN_lambda_10
200,2.2278317316497507,0.13859474658966064,0.11687882989645004,0.7015344500541687,PINN_lambda_10
250,2.2455643508607293,0.1403040885925293,0.11362353712320328,0.5774884223937988,PINN_lambda_10
300,2.2558289352720378,0.14133138954639435,0.11159414052963257,0.476977676153183,PINN_lambda_10
350,2.258595873741799,0.1416580080986023,0.110881507396698,0.39992856979370117,PINN_lambda_10
400,2.256954682754384,0.1415511518716812,0.1108507364988327,0.3394642770290375,PINN_lambda_10
450,2.2536835687361982,0.14132210612297058,0.11123621463775635,0.2880486845970154,PINN_lambda_10
500,2.2508152186566446,0.14112094044685364,0.11149510741233826,0.24218370020389557,PINN_lambda_10
550,2.244400344734896,0.14058424532413483,0.11228121072053909,0.20798662304878235,PINN_lambda_10
600,2.240193728269788,0.14025840163230896,0.11273305118083954,0.17477643489837646,PINN_lambda_10
650,2.2361957000253385,0.1400098204612732,0.11304441094398499,0.14520099759101868,PINN_lambda_10
700,2.2284721708599124,0.13944871723651886,0.11378630250692368,0.12378017604351044,PINN_lambda_10
750,2.2119769305157027,0.1384376585483551,0.11474677175283432,0.10978566855192184,PINN_lambda_10
800,2.182461304224315,0.1371103823184967,0.11487144231796265,0.08605023473501205,PINN_lambda_10
850,2.1266254345092612,0.13483989238739014,0.11362428963184357,0.06707969307899475,PINN_lambda_10
900,2.0350460340477037,0.13096722960472107,0.11176110804080963,0.05987317115068436,PINN_lambda_10
950,1.9126452345516183,0.1252019703388214,0.10936301946640015,0.05451163649559021,PINN_lambda_10
1000,1.7710562840962556,0.11771830916404724,0.10686797648668289,0.05020704120397568,PINN_lambda_10
1050,1.6236872649509835,0.10900095850229263,0.10400329530239105,0.053439050912857056,PINN_lambda_10
1100,1.4798020097498574,0.09964752197265625,0.10150572657585144,0.06250996142625809,PINN_lambda_10
1150,1.3466907554185317,0.09020235389471054,0.09935972839593887,0.06665043532848358,PINN_lambda_10
1200,1.2262400985582982,0.08109908550977707,0.09674278646707535,0.06718626618385315,PINN_lambda_10
1250,1.1175610497990784,0.07262849807739258,0.09436545521020889,0.06527219712734222,PINN_lambda_10
1300,1.0250304241603987,0.06496161222457886,0.09175938367843628,0.0617823451757431,PINN_lambda_10
1350,0.9424521557157985,0.05817461758852005,0.08975174278020859,0.057381074875593185,PINN_lambda_10
1400,0.8725175828073255,0.052270255982875824,0.08740592747926712,0.052535176277160645,PINN_lambda_10
1450,0.8104728069361474,0.047190748155117035,0.0849466547369957,0.04757661372423172,PINN_lambda_10
